	source	target	embedding_similarity	pair_distance	language_distance	shared_incoming_cnt	shared_outgoing_cnt	source_incoming_cnt	target_incoming_cnt	source_outgoing_cnt	target_outgoing_cnt	milne_witten	begin_time_distance	interval_overlap	relevance_score
519	1._FC_Kaiserslautern	Deutsche_Fußballmeisterschaft_1950/51	0.8034924864768982	1448.032046721098	0.0	25	2	1692	39	212	3	0.6236866420044488	18655.0	-184.0	7.420283734343474
520	1._FC_Kaiserslautern	Deutsche_Fußballmeisterschaft_1952/53	0.8196780681610107	1448.032046721098	0.0	24	3	1692	40	212	4	0.6191810594814401	19377.0	0.0	7.315353393377795
521	1._FC_Kaiserslautern	Fußball-Bundesliga_1963/64	0.8657083511352539	0.0	0.0	41	6	1692	181	212	15	0.6151074341561229	23354.0	0.0	5.3442462984364365
522	1._FC_Kaiserslautern	Fußball-Bundesliga_1978/79	0.8139966726303101	0.0	0.0	16	5	1692	74	212	14	0.5585980202321534	28559.0	-302.0	5.161924741642482
523	1._FC_Kaiserslautern	Fußball-Bundesliga_1990/91	0.8299739360809326	0.0	0.0	32	11	1692	95	212	18	0.6151339461143729	32939.0	-311.0	7.676064898754701
524	1._FC_Kaiserslautern	Fußball-Bundesliga_1991/92	0.8832247257232666	0.0	0.0	33	8	1692	125	212	16	0.6076754198931602	33298.0	-288.0	6.385700173264597
525	1._FC_Kaiserslautern	Fußball-Bundesliga_1993/94	0.8306328058242798	0.0	0.0	29	5	1692	98	212	7	0.6043928401252501	34033.0	-274.0	7.614125531282667
526	1._FC_Kaiserslautern	Fußball-Bundesliga_1994/95	0.8577238321304321	0.0	0.0	24	11	1692	88	212	26	0.5902722624109047	34411.0	-302.0	6.293326853133582
527	1._FC_Kaiserslautern	Fußball-Bundesliga_1995/96	0.8613972663879395	0.0	0.0	24	9	1692	106	212	20	0.5827968958688642	34768.0	-281.0	5.478386858142033
528	1._FC_Kaiserslautern	Fußball-Bundesliga_1997/98	0.8414511680603027	0.0	0.0	44	22	1692	105	212	37	0.6425521662660169	35770.0	0.0	4.988588181658938
529	1._FC_Kaiserslautern	Fußball-Bundesliga_1998/99	0.864344596862793	0.0	0.0	27	11	1692	106	212	17	0.5943438695811244	35867.0	-288.0	6.218579368283481
530	1._FC_Kaiserslautern	Fußball-Bundesliga_1999/2000	0.8934715986251831	0.0	0.0	25	14	1692	106	212	23	0.5867989195472365	36231.0	-281.0	4.453361612790788
531	1._FC_Kaiserslautern	Fußball-Bundesliga_2001/02	0.8541631698608398	0.0	0.0	22	9	1692	117	212	17	0.5701054590758285	36946.0	-280.0	5.3442462984364365
532	1._FC_Kaiserslautern	Fußball-Bundesliga_2002/03	0.858628511428833	0.0	0.0	27	9	1692	108	212	20	0.5935991394670466	37323.0	-288.0	4.9936982865180415
533	1._FC_Kaiserslautern	Fußball-Bundesliga_2005/06	0.8678685426712036	0.0	0.0	32	12	1692	164	212	17	0.5936125656196853	38415.0	-281.0	6.885123466087652
534	1._FC_Kaiserslautern	Fußball-Bundesliga_2010/11	0.8840967416763306	0.0	0.0	63	14	1692	274	212	45	0.6442917907728811	40523.0	0.0	6.280045866031938
